Status,Path,Consensus / Baseline,Different Files,E:/Coding/Spyder Projects/XML-Editor/XMLs/game.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/game2.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/game4.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated.xml
Same as Baseline,/careerSavegame[1]/mod[28]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.3.0.0,,1.3.0.0,1.3.0.0,1.3.0.0,1.3.0.0,1.3.0.0
Same as Baseline,/careerSavegame[1]/mod[29],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[29]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 889bb2c2aad0cb3f544b71f2e01dfbaf,,889bb2c2aad0cb3f544b71f2e01dfbaf,889bb2c2aad0cb3f544b71f2e01dfbaf,889bb2c2aad0cb3f544b71f2e01dfbaf,889bb2c2aad0cb3f544b71f2e01dfbaf,889bb2c2aad0cb3f544b71f2e01dfbaf
Same as Baseline,/careerSavegame[1]/mod[29]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_strautmann_aperion3401,,FS25_strautmann_aperion3401,FS25_strautmann_aperion3401,FS25_strautmann_aperion3401,FS25_strautmann_aperion3401,FS25_strautmann_aperion3401
Same as Baseline,/careerSavegame[1]/mod[29]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[29]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: Strautmann Aperion 3401,,Strautmann Aperion 3401,Strautmann Aperion 3401,Strautmann Aperion 3401,Strautmann Aperion 3401,Strautmann Aperion 3401
Same as Baseline,/careerSavegame[1]/mod[29]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.0.0.0,,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0,1.0.0.0
Same as Baseline,/careerSavegame[1]/mod[30],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[30]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 14bd250e0a1f002d536e2b88c1ef8d29,,14bd250e0a1f002d536e2b88c1ef8d29,14bd250e0a1f002d536e2b88c1ef8d29,14bd250e0a1f002d536e2b88c1ef8d29,14bd250e0a1f002d536e2b88c1ef8d29,14bd250e0a1f002d536e2b88c1ef8d29
Same as Baseline,/careerSavegame[1]/mod[30]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_JohnDeere6M,,FS25_JohnDeere6M,FS25_JohnDeere6M,FS25_JohnDeere6M,FS25_JohnDeere6M,FS25_JohnDeere6M
Same as Baseline,/careerSavegame[1]/mod[30]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[30]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: John Deere 6M Series,,John Deere 6M Series,John Deere 6M Series,John Deere 6M Series,John Deere 6M Series,John Deere 6M Series
Same as Baseline,/careerSavegame[1]/mod[30]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.0.0.1,,1.0.0.1,1.0.0.1,1.0.0.1,1.0.0.1,1.0.0.1
Same as Baseline,/careerSavegame[1]/mod[31],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[31]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: cf0ce7ddaa380ff5a725801ba9657f0e,,cf0ce7ddaa380ff5a725801ba9657f0e,cf0ce7ddaa380ff5a725801ba9657f0e,cf0ce7ddaa380ff5a725801ba9657f0e,cf0ce7ddaa380ff5a725801ba9657f0e,cf0ce7ddaa380ff5a725801ba9657f0e
Same as Baseline,/careerSavegame[1]/mod[31]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_PowerTools,,FS25_PowerTools,FS25_PowerTools,FS25_PowerTools,FS25_PowerTools,FS25_PowerTools
Same as Baseline,/careerSavegame[1]/mod[31]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
Same as Baseline,/careerSavegame[1]/mod[31]/@title,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: PowerTools,,PowerTools,PowerTools,PowerTools,PowerTools,PowerTools
Same as Baseline,/careerSavegame[1]/mod[31]/@version,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 1.1.0.0,,1.1.0.0,1.1.0.0,1.1.0.0,1.1.0.0,1.1.0.0
Same as Baseline,/careerSavegame[1]/mod[32],E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: <empty>,,<empty>,<empty>,<empty>,<empty>,<empty>
Same as Baseline,/careerSavegame[1]/mod[32]/@fileHash,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: 694213024dcbda0961af1a169d1cfcc6,,694213024dcbda0961af1a169d1cfcc6,694213024dcbda0961af1a169d1cfcc6,694213024dcbda0961af1a169d1cfcc6,694213024dcbda0961af1a169d1cfcc6,694213024dcbda0961af1a169d1cfcc6
Same as Baseline,/careerSavegame[1]/mod[32]/@modName,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: FS25_John_Deere_627C,,FS25_John_Deere_627C,FS25_John_Deere_627C,FS25_John_Deere_627C,FS25_John_Deere_627C,FS25_John_Deere_627C
Same as Baseline,/careerSavegame[1]/mod[32]/@required,E:/Coding/Spyder Projects/XML-Editor/XMLs/Generated/game_generated 2.xml: false,,false,false,false,false,false
